subject_id,X0__0,X1__0,X2__0,X3__0,X0__1,X1__1,X2__1,X3__1,X0__2,X1__2,X2__2,X3__2,X0__3,X1__3,X2__3,X3__3,X0__4,X1__4,X2__4,X3__4,X0__5,X1__5,X2__5,X3__5,X0__6,X1__6,X2__6,X3__6,X0__7,X1__7,X2__7,X3__7,X0__8,X1__8,X2__8,X3__8,X0__9,X1__9,X2__9,X3__9,X0__10,X1__10,X2__10,X3__10,X0__11,X1__11,X2__11,X3__11,X0__12,X1__12,X2__12,X3__12,X0__13,X1__13,X2__13,X3__13,X0__14,X1__14,X2__14,X3__14,X0__15,X1__15,X2__15,X3__15
0,ok,30.0,0.0,2.0,no,30.0,2.0,1.0,yes,20.0,1.0,0.0,yes,20.0,1.0,1.0,yes,20.0,2.0,1.0,yes,20.0,1.0,0.0,ok,10.0,1.0,1.0,yes,10.0,2.0,2.0,yes,10.0,2.0,1.0,yes,10.0,2.0,2.0,ok,20.0,2.0,2.0,yes,30.0,1.0,2.0,ok,30.0,1.0,2.0,ok,10.0,2.0,1.0,yes,10.0,0.0,2.0,yes,10.0,1.0,1.0
1,ok,30.0,1.0,0.0,yes,20.0,2.0,1.0,ok,10.0,2.0,1.0,no,30.0,1.0,0.0,yes,20.0,2.0,2.0,yes,30.0,1.0,0.0,ok,10.0,1.0,1.0,no,10.0,0.0,2.0,no,10.0,1.0,0.0,ok,20.0,2.0,2.0,no,20.0,0.0,1.0,no,20.0,0.0,2.0,no,30.0,1.0,2.0,yes,20.0,1.0,2.0,ok,30.0,1.0,2.0,no,20.0,0.0,0.0
2,yes,10.0,2.0,0.0,yes,30.0,0.0,0.0,yes,30.0,0.0,0.0,ok,10.0,1.0,2.0,ok,20.0,2.0,1.0,no,20.0,2.0,1.0,ok,30.0,0.0,1.0,ok,20.0,2.0,1.0,ok,30.0,2.0,1.0,yes,10.0,2.0,1.0,ok,20.0,2.0,1.0,yes,20.0,2.0,1.0,yes,30.0,1.0,1.0,yes,20.0,2.0,1.0,ok,30.0,1.0,0.0,no,10.0,2.0,1.0
3,ok,30.0,0.0,2.0,ok,20.0,2.0,2.0,ok,10.0,0.0,1.0,no,20.0,0.0,0.0,no,10.0,1.0,1.0,no,20.0,0.0,0.0,yes,30.0,0.0,0.0,yes,20.0,2.0,2.0,ok,30.0,0.0,1.0,yes,10.0,1.0,2.0,yes,30.0,0.0,1.0,ok,20.0,2.0,1.0,no,10.0,0.0,0.0,no,30.0,1.0,0.0,no,20.0,1.0,1.0,no,20.0,2.0,0.0
4,yes,10.0,0.0,0.0,no,20.0,1.0,0.0,yes,20.0,1.0,1.0,ok,30.0,1.0,0.0,yes,20.0,0.0,1.0,yes,30.0,2.0,0.0,ok,10.0,0.0,1.0,ok,20.0,2.0,0.0,ok,10.0,2.0,1.0,ok,20.0,0.0,1.0,ok,30.0,0.0,2.0,no,30.0,1.0,0.0,no,10.0,0.0,1.0,no,10.0,1.0,0.0,yes,10.0,0.0,1.0,ok,20.0,2.0,0.0
5,ok,30.0,0.0,2.0,yes,10.0,1.0,1.0,ok,30.0,1.0,0.0,yes,10.0,1.0,2.0,ok,20.0,2.0,2.0,yes,30.0,1.0,0.0,ok,20.0,2.0,1.0,no,20.0,2.0,1.0,no,20.0,2.0,0.0,no,30.0,2.0,1.0,no,30.0,1.0,0.0,no,30.0,2.0,2.0,yes,20.0,2.0,2.0,yes,20.0,2.0,2.0,yes,30.0,2.0,1.0,yes,10.0,0.0,0.0
6,ok,20.0,2.0,0.0,yes,10.0,2.0,1.0,ok,20.0,0.0,0.0,yes,10.0,1.0,0.0,ok,30.0,1.0,1.0,ok,20.0,2.0,0.0,no,20.0,2.0,0.0,yes,20.0,2.0,2.0,ok,30.0,1.0,0.0,no,30.0,1.0,2.0,no,30.0,2.0,1.0,yes,10.0,2.0,1.0,ok,20.0,0.0,0.0,no,20.0,0.0,2.0,no,20.0,1.0,2.0,no,20.0,0.0,0.0
7,ok,20.0,0.0,1.0,ok,10.0,2.0,2.0,ok,30.0,0.0,1.0,ok,20.0,2.0,0.0,no,20.0,0.0,2.0,no,20.0,1.0,1.0,no,30.0,2.0,1.0,no,30.0,2.0,2.0,no,30.0,1.0,0.0,no,30.0,2.0,1.0,no,30.0,0.0,2.0,yes,10.0,1.0,1.0,ok,20.0,2.0,0.0,no,20.0,2.0,2.0,yes,20.0,2.0,1.0,ok,10.0,1.0,0.0
8,ok,10.0,0.0,1.0,ok,20.0,2.0,1.0,no,30.0,2.0,0.0,yes,20.0,1.0,0.0,yes,20.0,2.0,1.0,ok,20.0,0.0,1.0,yes,10.0,1.0,0.0,yes,10.0,1.0,0.0,ok,30.0,1.0,0.0,no,10.0,2.0,0.0,yes,30.0,0.0,2.0,yes,20.0,2.0,1.0,yes,10.0,2.0,2.0,ok,20.0,0.0,0.0,yes,30.0,2.0,1.0,yes,30.0,0.0,2.0
9,ok,10.0,2.0,2.0,no,10.0,1.0,0.0,no,20.0,2.0,1.0,no,10.0,1.0,0.0,yes,10.0,0.0,1.0,yes,20.0,2.0,0.0,ok,30.0,2.0,2.0,yes,10.0,2.0,1.0,yes,10.0,2.0,1.0,yes,10.0,2.0,2.0,ok,30.0,0.0,1.0,no,10.0,1.0,0.0,no,20.0,0.0,2.0,yes,20.0,2.0,2.0,ok,30.0,2.0,0.0,no,30.0,2.0,1.0
